Num,Row,Fam,Pop,Lat,Start,End,Duration,Veg,PC1,HinfW,TotFlwr,d0,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60
1,1a,B2,ONEC,47.6908056,8,38,30,78,-1.8007579,0,118,2,0,18,58,40,0,0,0,0,0,0,0,0
2,1a,F16,ONRO,45.2627778,23,49,26,115,0.17131012,4.14,377,12,9,86,76,84,110,0,0,0,0,0,0,0
3,1a,L3,NYSC,42.5230556,22,71,49,124,0.37448777,32.78,3212,1,5,22,58,189,655,654,855,732,41,0,0,0
4,1a,J9,NYLV,43.6971944,21,61,40,121,0.22745151,55.66,4197,6,58,121,460,488,978,1102,984,0,0,0,0,0
5,1a,H3,ONDM,44.4933889,13,54,41,113,-0.4818867,28.17,5407,1,43,130,607,796,829,1739,1216,46,0,0,0,0
8,1a,A13,ONTI,48.4789167,11,61,50,91,-1.2429111,19.91,1376,3,23,94,163,0,265,134,401,234,59,0,0,0
9,1a,T15,MDDB,38.7526111,43,77,34,119,1.4777038,7.53,403,9,56,93,102,73,50,20,0,0,0,0,0,0
10,1a,J6,NYLV,43.6971944,28,72,44,123,0.70219999,17.06,1231,5,21,28,60,104,150,537,196,130,0,0,0,0
13,1a,H20,ONDM,44.4933889,13,60,47,82,-1.386606,32.21,4978,8,39,167,409,877,514,959,1555,450,0,0,0,0
14,1a,T2,MDDB,38.7526111,41,68,27,120,1.38792272,4.75,199,8,22,47,96,16,10,0,0,0,0,0,0,0
15,1a,T20,MDDB,38.7526111,51,78,27,121,2.01193507,1.05,42,4,14,16,8,0,0,0,0,0,0,0,0,0
16,1a,A8,ONTI,48.4789167,8,61,53,80,-1.7423889,3.67,625,2,0,111,121,132,113,81,59,0,5,1,0,0
18,1a,I16,ONWH,45.49,13,61,48,95,-1.0072076,4.9,439,2,10,32,53,64,114,127,37,0,0,0,0,0
19,1a,L1,NYSC,42.5230556,21,61,40,119,0.16908252,30.53,3081,18,14,121,571,137,791,968,461,0,0,0,0,0
20,1a,P17,NJHP,41.3128333,34,78,44,153,1.9346315,67.04,3248,4,25,105,95,896,1036,980,95,12,0,0,0,0
21,1a,A19,ONTI,48.4789167,14,53,39,90,-1.0936473,18.02,1706,4,99,166,357,233,378,365,104,0,0,0,0,0
22,1a,E8,ONNO,45.4319444,11,56,45,95,-1.1261732,30.64,3174,2,156,314,946,1130,578,39,9,0,0,0,0,0
23,1b,F13,ONRO,45.2627778,16,54,38,112,-0.3326229,5.59,656,4,0,47,108,211,141,113,32,0,0,0,0,0
25,1b,E1,ONNO,45.4319444,13,33,20,92,-1.0947611,NA,12,2,4,3,2,1,0,0,0,0,0,0,0,0
26,1b,A12,ONTI,48.4789167,18,61,43,NA,NA,NA,58,7,18,0,2,6,10,15,0,0,0,0,0,0
27,1b,J6,NYLV,43.6971944,21,61,40,108,-0.1519469,15.76,1369,4,4,28,20,97,454,437,325,0,0,0,0,0
28,1b,J5,NYLV,43.6971944,33,69,36,141,1.5249348,11.07,383,1,4,10,43,102,201,22,0,0,0,0,0,0
29,1b,A13,ONTI,48.4789167,16,55,39,92,-0.9163127,2.77,311,10,26,33,38,63,28,83,30,0,0,0,0,0
31,1b,I5,ONWH,45.49,13,83,70,NA,NA,15.72,574,2,10,32,75,56,17,44,49,43,98,59,49,40
32,1b,B5,ONEC,47.6908056,16,NA,NA,94,-0.8579437,0.86,131,4,53,58,16,0,0,0,0,0,0,0,0,0
33,1b,A4,ONTI,48.4789167,17,60,43,88,-0.9735679,6.29,566,6,32,74,64,94,88,90,88,30,0,0,0,0
34,1b,P16,NJHP,41.3128333,17,72,55,117,-0.1272176,46.25,5169,4,25,51,87,455,481,1026,1065,1260,540,175,0,0
35,1b,M12,NYCH,42.2382222,18,72,54,134.5,0.44299381,56.43,1759,7,39,58,196,422,181,173,255,411,0,17,0,0
36,1b,J20,NYLV,43.6971944,48,72,24,151,2.70902151,7.16,252,17,69,103,55,8,0,0,0,0,0,0,0,0
37,1b,I1,ONWH,45.49,14,NA,NA,81,-1.3563077,NA,4,1,2,1,0,0,0,0,0,0,0,0,0,0
38,1b,P17,NJHP,41.3128333,37,69,32,134,1.55857449,6.63,405,3,0,0,81,170,106,45,0,0,0,0,0,0
39,1b,T2,MDDB,38.7526111,28,67,39,116,0.49790854,10.98,622,1,36,50,84,125,151,155,20,0,0,0,0,0
41,1b,I20,ONWH,45.49,13,NA,NA,66,-1.8535579,NA,121,6,12,14,52,37,0,0,0,0,0,0,0,0
42,1b,I13,ONWH,45.49,14,57,43,95,-0.9477248,19.71,1069,5,41,72,86,122,198,272,188,85,0,0,0,0
43,1b,A8,ONTI,48.4789167,16,55,39,86,-1.0914197,29.6,1501,8,74,170,258,549,144,187,111,0,0,0,0,0
44,1c,I7,ONWH,45.49,14,53,39,101,-0.7726179,3.55,358,10,40,76,90,52,49,26,15,0,0,0,0,0
49,1c,P1,NJHP,41.3128333,22,70,48,129,0.52041024,15.26,1240,2,4,6,11,31,109,126,281,474,196,0,0,0
50,1c,L6,NYSC,42.5230556,35,69,34,112,0.79755006,11.09,1093,1,26,59,118,525,345,19,0,0,0,0,0,0
51,1c,G12,ONPG,44.5948889,22,66,44,144,0.95817764,NA,5579,4,30,118,943,1971,1192,997,292,32,0,0,0,0
52,1c,T7,MDDB,38.7526111,16,55,39,85,-1.1206042,1.36,379,8,35,76,67,74,50,42,27,0,0,0,0,0
53,1c,A8,ONTI,48.4789167,9,60,51,83,-1.5953527,3.85,492,3,70,66,140,92,0,52,61,8,0,0,0,0
54,1c,H16,ONDM,44.4933889,15,49,34,93,-0.946611,12.37,1349,10,141,163,384,262,244,145,0,0,0,0,0,0
55,1c,S11,NJPT,40.34025,32,72,40,123,0.94013113,26.29,1513,17,73,0,107,176,417,499,224,0,0,0,0,0
56,1c,I11,ONWH,45.49,16,NA,NA,94,-0.8579437,0.06,39,1,6,11,13,8,0,0,0,0,0,0,0,0
58,1c,J1,NYLV,43.6971944,37,71,34,130,1.44183651,0.56,80,7,0,22,17,0,25,9,0,0,0,0,0,0
59,1c,J8,NYLV,43.6971944,22,61,39,147,1.04573112,38.74,2443,12,26,101,439,617,657,447,144,0,0,0,0,0
61,1c,G5,ONPG,44.5948889,16,60,44,108,-0.4493608,15.47,3368,6,80,157,279,944,518,816,568,0,0,0,0,0
64,1c,B8,ONEC,47.6908056,17,NA,NA,95,-0.7692765,6.42,568,30,44,140,129,164,58,3,0,0,0,0,0,0
65,1c,A6,ONTI,48.4789167,10,56,46,91,-1.3023939,26.89,2729,5,18,0,192,579,990,484,404,0,57,0,0,0
