"Num","Fam","Pop","Lat","Start","Duration","Veg","PC1","HinfW","TotFlwr","Peak","Var","Skew","Kurt"
1,"B2","ONEC",47.6908056,8,30,78,-1.8007579,0,118,23.6779661016949,219.700290682105,-1.08063922734707,1.23769441688142
2,"F16","ONRO",45.2627778,23,26,115,0.17131012,4.14,377,40.1750663129974,951.415831991683,-1.01894399834116,1.0513887411116
3,"L3","NYSC",42.5230556,22,49,124,0.37448777,32.78,3212,53.7372353673724,1796.24213322403,-1.01396620750944,1.03879969073617
4,"J9","NYLV",43.6971944,21,40,121,0.22745151,55.66,4197,47.2354062425542,1394.7671555292,-1.01876318369492,1.05171347022186
5,"H3","ONDM",44.4933889,13,41,113,-0.4818867,28.17,5407,39.6016275198816,964.444273018354,-1.02985181446432,1.08020142639284
8,"A13","ONTI",48.4789167,11,50,91,-1.2429111,19.91,1376,40.2114825581395,1077.12266080175,-1.0252951722135,1.06707493778001
9,"T15","MDDB",38.7526111,43,34,119,1.4777038,7.53,403,58.0124069478908,2243.03317236923,-1.00840777154331,1.0228834776885
10,"J6","NYLV",43.6971944,28,44,123,0.70219999,17.06,1231,56.663688058489,1857.48940527876,-1.07097579338422,1.18617003771818
13,"H20","ONDM",44.4933889,13,47,82,-1.386606,32.21,4978,41.0403776617115,1091.79396645659,-1.03095189579402,1.08106437313614
14,"T2","MDDB",38.7526111,41,27,120,1.38792272,4.75,199,54.0150753768844,1465.70167978348,-1.10046532758116,1.26838978504566
15,"T20","MDDB",38.7526111,51,27,121,2.01193507,1.05,42,59.3333333333333,1746.73275024295,-1.03018781623526,1.08415655357521
16,"A8","ONTI",48.4789167,8,53,80,-1.7423889,3.67,625,29.056,590.502887481344,-1.003395701357,1.00918794000205
18,"I16","ONWH",45.49,13,48,95,-1.0072076,4.9,439,36.6902050113895,854.346556831084,-1.02894875372893,1.07767218249062
19,"L1","NYSC",42.5230556,21,40,119,0.16908252,30.53,3081,46.1655306718598,1279.98255200675,-1.02549174551607,1.06925870799567
20,"P17","NJHP",41.3128333,34,44,153,1.9346315,67.04,3248,58.5150862068966,1828.08641727033,-1.02673875686607,1.07743660299626
21,"A19","ONTI",48.4789167,14,39,90,-1.0936473,18.02,1706,35.2250879249707,843.831201342169,-1.01364651090812,1.03683424353468
22,"E8","ONNO",45.4319444,11,45,95,-1.1261732,30.64,3174,28.846565847511,458.39423833277,-1.03650690319448,1.10119769171646
