"Pop","Latitude","TotFlwr","Start","End","Duration","Peak","Var","Skew","Kurt"
"ONEC","47.6908056","354.818181818182","11.8181818181818","58.8181818181818","47","25.88270965217","370.725098734392","-1.03711592610905","1.1051379709056"
"ONRO","45.2627778","803.16","20.76","57.52","36.76","35.2355976359688","656.167851069705","-1.21551405330696","2.05080463119256"
"NYSC","42.5230556","1871.72727272727","24.0454545454545","68.5454545454545","44.5","50.455988119246","1458.47417394363","-1.0560489785003","1.15695786612234"
"NYLV","43.6971944","3078.17647058824","23.5882352941176","68.1470588235294","44.5588235294118","49.6199721480766","1483.97300634243","-1.0333918709617","1.09097508798511"
"ONDM","44.4933889","2311.73684210526","14.5526315789474","59.2105263157895","44.6578947368421","38.5822791227546","988.763864394868","-1.02091265885167","1.05595161490193"
"ONTI","48.4789167","1136.625","12.8125","60.4375","47.625","36.0312039091138","885.485300797041","-1.01763059520572","1.04711673222401"
"MDDB","38.7526111","1184.17391304348","32.8260869565217","75.9565217391304","43.1304347826087","55.8649875981713","1846.08038429857","-1.07626953913561","1.23609412257105"
"ONWH","45.49","260.458333333333","16.8333333333333","58.5833333333333","41.75","31.6363743093643","676.402948402662","-1.094224116157","1.32182295043799"
"NJHP","41.3128333","2090.0303030303","29.2727272727273","72.969696969697","43.6969696969697","55.475729945106","1794.74146485094","-1.04807151163861","1.13135526048961"
"ONNO","45.4319444","613.846153846154","14","54.1923076923077","40.1923076923077","31.5673697990567","665.713282896916","-1.01785884578047","1.04837397100416"
"NYCH","42.2382222","4154.79411764706","19.9411764705882","65.6470588235294","45.7058823529412","44.9794279452914","1277.52583556589","-1.05688971763843","1.17909006783602"
"ONPG","44.5948889","2064.63888888889","14.3888888888889","59.7777777777778","45.3888888888889","37.8418482622381","918.485558921501","-1.04569784749712","1.12924216275418"
"NJPT","40.34025","977.4","41.52","82.8","41.28","63.4801371570424","2229.01037184383","-1.0671951063606","1.18776721964258"
