"PopCode","Days","FlwrSum"
"ONEC",0,0
"ONEC",1,21.3072809543398
"ONEC",2,42.6145619086796
"ONEC",3,63.9218428630193
"ONEC",4,85.2291238173591
"ONEC",5,106.536404771699
"ONEC",6,127.843685726039
"ONEC",7,149.150966680378
"ONEC",8,170.458247634718
"ONEC",9,200.065528589058
"ONEC",10,229.672809543398
"ONEC",11,259.280090497738
"ONEC",12,293.778280542986
"ONEC",13,328.276470588235
"ONEC",14,418.882352941176
"ONEC",15,509.488235294118
"ONEC",16,600.094117647059
"ONEC",17,703.6
"ONEC",18,803.2
"ONEC",19,980.2
"ONEC",20,1157.2
"ONEC",21,1334.2
"ONEC",22,1482.8
"ONEC",23,1643.6
"ONEC",24,1708.6
"ONEC",25,1773.6
"ONEC",26,1838.6
"ONEC",27,1895.6
"ONEC",28,1966
"ONEC",29,1901.4
"ONEC",30,1836.8
"ONEC",31,1772.2
"ONEC",32,1706.4
"ONEC",33,1615.4
"ONEC",34,1536.4
"ONEC",35,1457.4
"ONEC",36,1378.4
"ONEC",37,1309.4
"ONEC",38,1185
"ONEC",39,983.8
"ONEC",40,782.6
"ONEC",41,581.4
"ONEC",42,385.6
"ONEC",43,232
"ONEC",44,184
"ONEC",45,136
"ONEC",46,88
"ONEC",47,40
"ONEC",48,2.4
"ONEC",49,5.2
"ONEC",50,8
"ONEC",51,10.8
"ONEC",52,13.6
"ONEC",53,17
"ONEC",54,14.2
"ONEC",55,11.4
"ONEC",56,8.6
"ONEC",57,5.8
"ONEC",58,3
"ONEC",59,2.4
"ONEC",60,1.8
"ONEC",61,1.2
"ONEC",62,0.6
"ONEC",63,0
"ONEC",64,0
"ONEC",65,0
"ONEC",66,0
"ONEC",67,0
"ONEC",68,0
"ONEC",69,0
"ONEC",70,0
"ONEC",71,0
"ONEC",72,0
"ONEC",73,0
"ONEC",74,0
"ONEC",75,0
"ONEC",76,0
"ONEC",77,0
"ONEC",78,0
"ONEC",79,0
"ONEC",80,0
"ONEC",81,0
"ONEC",82,0
"ONEC",83,0
"ONEC",84,0
"ONEC",85,0
"ONEC",86,0
"ONEC",87,0
"ONEC",88,0
"ONEC",89,0
"ONEC",90,0
"ONEC",91,0
"ONEC",92,0
"ONEC",93,0
"ONEC",94,0
"ONEC",95,0
"ONEC",96,0
"ONEC",97,0
"ONEC",98,0
"ONEC",99,0
"ONEC",100,0
"ONEC",101,0
"ONEC",102,0
"ONEC",103,0
"ONEC",104,0
"ONEC",105,0
"ONEC",106,0
"ONEC",107,0
"ONEC",108,0
"ONEC",109,0
"ONEC",110,0
"ONEC",111,0
"ONEC",112,0
"ONEC",113,0
"ONEC",114,0
"ONEC",115,0
"ONEC",116,0
"ONEC",117,0
"ONEC",118,0
"ONEC",119,0
"ONEC",120,0
"ONEC",121,0
"ONEC",122,0
"ONEC",123,0
"ONEC",124,0
"ONEC",125,0
"ONRO",0,0
"ONRO",1,7.88043874073499
"ONRO",2,15.76087748147
"ONRO",3,23.641316222205
"ONRO",4,31.52175496294
"ONRO",5,39.402193703675
"ONRO",6,47.2826324444099
"ONRO",7,55.1630711851449
"ONRO",8,63.0435099258799
"ONRO",9,70.9239486666149
"ONRO",10,78.8043874073499
"ONRO",11,86.6848261480849
"ONRO",12,106.947083070638
"ONRO",13,127.209339993191
"ONRO",14,150.133135377283
"ONRO",15,173.056930761375
"ONRO",16,195.980726145466
"ONRO",17,233.829521529558
"ONRO",18,275.666552207767
"ONRO",19,334.303582885976
"ONRO",20,392.940613564186
"ONRO",21,452.727644242395
"ONRO",22,508.581341587271
"ONRO",23,563.035038932147
"ONRO",24,614.801779755284
"ONRO",25,666.56852057842
"ONRO",26,716.535261401557
"ONRO",27,774.702002224694
"ONRO",28,832.468743047831
"ONRO",29,867.035483870968
"ONRO",30,901.967741935484
"ONRO",31,936.2
"ONRO",32,1098.83225806452
"ONRO",33,1261.06451612903
"ONRO",34,1485.69677419355
"ONRO",35,1709.32903225806
"ONRO",36,1933.56129032258
"ONRO",37,2047.7935483871
"ONRO",38,2160.02580645161
"ONRO",39,2384.65806451613
"ONRO",40,2609.89032258065
"ONRO",41,2836.72258064516
"ONRO",42,2968.55483870968
"ONRO",43,3092.38709677419
"ONRO",44,3261.61935483871
"ONRO",45,3430.85161290323
"ONRO",46,3593.68387096774
"ONRO",47,3794.71612903226
"ONRO",48,3997.54838709677
"ONRO",49,3911.58064516129
"ONRO",50,3825.61290322581
"ONRO",51,3743.24516129032
"ONRO",52,3666.07741935484
"ONRO",53,3594.90967741935
"ONRO",54,3482.74193548387
"ONRO",55,3370.57419354839
"ONRO",56,3259.6064516129
"ONRO",57,3114.03870967742
"ONRO",58,2968.47096774194
"ONRO",59,2644.50322580645
"ONRO",60,2320.53548387097
"ONRO",61,1996.56774193548
"ONRO",62,1493
"ONRO",63,998.2
"ONRO",64,790.6
"ONRO",65,583
"ONRO",66,375.4
"ONRO",67,327.6
"ONRO",68,261.8
"ONRO",69,201.6
"ONRO",70,141.4
"ONRO",71,81.2
"ONRO",72,61.2
"ONRO",73,50.4
"ONRO",74,39.6
"ONRO",75,28.8
"ONRO",76,18
"ONRO",77,14.4
"ONRO",78,10.8
"ONRO",79,7.2
"ONRO",80,3.6
"ONRO",81,0
"ONRO",82,0
"ONRO",83,0
"ONRO",84,0
"ONRO",85,0
"ONRO",86,0
"ONRO",87,0
"ONRO",88,0
"ONRO",89,0
"ONRO",90,0
"ONRO",91,0
"ONRO",92,0
"ONRO",93,0
"ONRO",94,0
"ONRO",95,0
"ONRO",96,0
"ONRO",97,0
"ONRO",98,0
"ONRO",99,0
"ONRO",100,0
"ONRO",101,0
"ONRO",102,0
"ONRO",103,0
"ONRO",104,0
"ONRO",105,0
"ONRO",106,0
"ONRO",107,0
"ONRO",108,0
"ONRO",109,0
"ONRO",110,0
"ONRO",111,0
"ONRO",112,0
"ONRO",113,0
"ONRO",114,0
"ONRO",115,0
"ONRO",116,0
"ONRO",117,0
"ONRO",118,0
"ONRO",119,0
"ONRO",120,0
"ONRO",121,0
"ONRO",122,0
"ONRO",123,0
"ONRO",124,0
"ONRO",125,0
"NYSC",0,0
"NYSC",1,5.66180717066594
"NYSC",2,11.3236143413319
"NYSC",3,16.9854215119978
"NYSC",4,22.6472286826638
"NYSC",5,28.3090358533297
"NYSC",6,33.9708430239956
"NYSC",7,39.6326501946616
"NYSC",8,45.2944573653275
"NYSC",9,48.3562645359935
"NYSC",10,51.4180717066594
"NYSC",11,54.4798788773253
"NYSC",12,56.668958775264
"NYSC",13,58.8580386732027
"NYSC",14,64.2471185711413
"NYSC",15,68.8219127547943
"NYSC",16,73.3967069384472
"NYSC",17,98.5965011221002
"NYSC",18,124.502177658694
"NYSC",19,161.074520861955
"NYSC",20,198.246864065216
"NYSC",21,237.919207268477
"NYSC",22,279.362979043166
"NYSC",23,325.288568999674
"NYSC",24,356.014158956181
"NYSC",25,386.939748912689
"NYSC",26,420.665338869196
"NYSC",27,543.790928825704
"NYSC",28,668.316518782211
"NYSC",29,829.042108738719
"NYSC",30,991.533215936606
"NYSC",31,1157.72432313449
"NYSC",32,1582.51543033238
"NYSC",33,2053.30653753027
"NYSC",34,2550.24309927361
"NYSC",35,3053.17966101695
"NYSC",36,3588.43050847458
"NYSC",37,3772.8813559322
"NYSC",38,3998.93220338983
"NYSC",39,4225.98305084746
"NYSC",40,4463.23389830508
"NYSC",41,4720.88474576271
"NYSC",42,5007.13559322034
"NYSC",43,5402.58644067797
"NYSC",44,5872.63728813559
"NYSC",45,6370.68813559322
"NYSC",46,6887.33898305085
"NYSC",47,7351.98983050847
"NYSC",48,7508.0406779661
"NYSC",49,7455.89152542373
"NYSC",50,7364.14237288136
"NYSC",51,7657.19322033898
"NYSC",52,7857.64406779661
"NYSC",53,8225.89491525424
"NYSC",54,8770.54576271186
"NYSC",55,9300.39661016949
"NYSC",56,9245.84745762712
"NYSC",57,8897.69830508475
"NYSC",58,8388.34915254237
"NYSC",59,7472.2
"NYSC",60,6503.2
"NYSC",61,5343.8
"NYSC",62,4526.8
"NYSC",63,3612.2
"NYSC",64,2965
"NYSC",65,2366.2
"NYSC",66,1834.8
"NYSC",67,1286
"NYSC",68,899.4
"NYSC",69,548.2
"NYSC",70,209.4
"NYSC",71,105.6
"NYSC",72,57.4
"NYSC",73,42.6
"NYSC",74,27.8
"NYSC",75,13.2
"NYSC",76,5
"NYSC",77,4.89795918367347
"NYSC",78,4.79591836734694
"NYSC",79,4.69387755102041
"NYSC",80,4.59183673469388
"NYSC",81,4.48979591836735
"NYSC",82,4.38775510204082
"NYSC",83,4.28571428571429
"NYSC",84,4.18367346938776
"NYSC",85,4.08163265306122
"NYSC",86,3.97959183673469
"NYSC",87,3.87755102040816
"NYSC",88,3.77551020408163
"NYSC",89,3.6734693877551
"NYSC",90,3.57142857142857
"NYSC",91,3.46938775510204
"NYSC",92,3.36734693877551
"NYSC",93,3.26530612244898
"NYSC",94,3.16326530612245
"NYSC",95,3.06122448979592
"NYSC",96,2.95918367346939
"NYSC",97,2.85714285714286
"NYSC",98,2.75510204081633
"NYSC",99,2.6530612244898
"NYSC",100,2.55102040816327
"NYSC",101,2.44897959183673
"NYSC",102,2.3469387755102
"NYSC",103,2.24489795918367
"NYSC",104,2.14285714285714
"NYSC",105,2.04081632653061
"NYSC",106,1.93877551020408
"NYSC",107,1.83673469387755
"NYSC",108,1.73469387755102
"NYSC",109,1.63265306122449
"NYSC",110,1.53061224489796
"NYSC",111,1.42857142857143
"NYSC",112,1.3265306122449
"NYSC",113,1.22448979591837
"NYSC",114,1.12244897959184
"NYSC",115,1.02040816326531
"NYSC",116,0.918367346938775
"NYSC",117,0.816326530612245
"NYSC",118,0.714285714285714
"NYSC",119,0.612244897959184
"NYSC",120,0.510204081632653
"NYSC",121,0.408163265306122
"NYSC",122,0.306122448979592
"NYSC",123,0.204081632653061
"NYSC",124,0.102040816326531
"NYSC",125,0
"NYLV",0,0
"NYLV",1,9.11032084770421
"NYLV",2,18.2206416954084
